pdate,hour,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,total,totalimei,totalimsi
2016-05-02,7,89,89,89,89,89,89,1,1,1
2016-05-02,7,90,90,90,90,90,90,1,1,1
2016-05-02,8,88,88,88,88,88,88,585,540,540
2016-05-02,8,89,89,89,89,89,89,1080,1051,1051
2016-05-02,8,90,90,90,90,90,90,1485,1456,1456
2016-05-02,8,91,91,91,91,91,91,504,486,486
2016-05-02,8,92,92,92,92,92,92,92,87,87
2016-05-02,9,23,23,23,23,23,23,2,1,1
2016-05-02,9,88,88,88,88,88,88,1807,1617,1617
2016-05-02,9,89,89,89,89,89,89,2860,2674,2674
2016-05-02,9,90,90,90,90,90,90,3231,3057,3057
2016-05-02,9,91,91,91,91,91,91,1181,1102,1102
2016-05-02,9,92,92,92,92,92,92,206,175,175
2016-05-02,10,88,88,88,88,88,88,585,547,547
2016-05-02,10,89,89,89,89,89,89,1045,1019,1019
2016-05-02,10,90,90,90,90,90,90,1469,1440,1440
2016-05-02,10,91,91,91,91,91,91,494,482,482
2016-05-02,10,92,92,92,92,92,92,67,59,59
2016-05-02,11,88,88,88,88,88,88,444,424,424
2016-05-02,11,89,89,89,89,89,89,981,967,967
2016-05-02,11,90,90,90,90,90,90,1605,1597,1597
2016-05-02,11,91,91,91,91,91,91,633,624,624
2016-05-02,11,92,92,92,92,92,92,85,84,84
2016-05-02,12,88,88,88,88,88,88,675,641,641
2016-05-02,12,89,89,89,89,89,89,1429,1415,1415
2016-05-02,12,90,90,90,90,90,90,2348,2292,2292
2016-05-02,12,91,91,91,91,91,91,851,836,836
2016-05-02,12,92,92,92,92,92,92,97,89,89
2016-05-02,13,23,23,23,23,23,23,2,1,1
2016-05-02,13,88,88,88,88,88,88,1988,1797,1797
2016-05-02,13,89,89,89,89,89,89,3756,3555,3555
2016-05-02,13,90,90,90,90,90,90,5809,5510,5510
2016-05-02,13,91,91,91,91,91,91,2011,1883,1883
2016-05-02,13,92,92,92,92,92,92,285,262,262
2016-05-02,14,88,88,88,88,88,88,746,706,706
2016-05-02,14,89,89,89,89,89,89,1588,1560,1560
2016-05-02,14,90,90,90,90,90,90,2505,2463,2463
2016-05-02,14,91,91,91,91,91,91,1019,994,994
2016-05-02,14,92,92,92,92,92,92,157,146,146
2016-05-02,15,88,88,88,88,88,88,1099,1033,1033
2016-05-02,15,89,89,89,89,89,89,1964,1885,1885
2016-05-02,15,90,90,90,90,90,90,2470,2387,2387
2016-05-02,15,91,91,91,91,91,91,1014,960,960
2016-05-02,15,92,92,92,92,92,92,202,186,186
2016-05-02,16,88,88,88,88,88,88,1793,1674,1674
2016-05-02,16,89,89,89,89,89,89,3345,3256,3256
2016-05-02,16,90,90,90,90,90,90,4652,4563,4563
2016-05-02,16,91,91,91,91,91,91,1979,1915,1915
2016-05-02,16,92,92,92,92,92,92,353,332,332
2016-05-02,17,88,88,88,88,88,88,767,726,726
2016-05-02,17,89,89,89,89,89,89,1301,1281,1281
2016-05-02,17,90,90,90,90,90,90,1748,1734,1734
2016-05-02,17,91,91,91,91,91,91,697,682,682
2016-05-02,17,92,92,92,92,92,92,114,105,105
2016-05-02,18,88,88,88,88,88,88,3786,3575,3575
2016-05-02,18,89,89,89,89,89,89,6821,6653,6653
2016-05-02,18,90,90,90,90,90,90,8890,8719,8719
2016-05-02,18,91,91,91,91,91,91,3318,3236,3236
2016-05-02,18,92,92,92,92,92,92,519,487,487
2016-05-02,19,88,88,88,88,88,88,584,560,560
2016-05-02,19,89,89,89,89,89,89,876,870,870
2016-05-02,19,90,90,90,90,90,90,998,995,995
2016-05-02,19,91,91,91,91,91,91,373,372,372
2016-05-02,19,92,92,92,92,92,92,66,62,62
2016-05-02,20,88,88,88,88,88,88,404,379,379
2016-05-02,20,89,89,89,89,89,89,664,632,632
2016-05-02,20,90,90,90,90,90,90,831,792,792
2016-05-02,20,91,91,91,91,91,91,411,386,386
2016-05-02,20,92,92,92,92,92,92,51,42,42
2016-05-02,21,88,88,88,88,88,88,445,428,428
2016-05-02,21,89,89,89,89,89,89,662,657,657
2016-05-02,21,90,90,90,90,90,90,734,729,729
2016-05-02,21,91,91,91,91,91,91,303,301,301
2016-05-02,21,92,92,92,92,92,92,56,55,55
2016-05-03,2,88,88,88,88,88,88,4,4,4
2016-05-03,2,89,89,89,89,89,89,8,8,8
2016-05-03,2,90,90,90,90,90,90,17,17,17
2016-05-03,2,91,91,91,91,91,91,7,7,7
2016-05-03,3,88,88,88,88,88,88,51,48,48
2016-05-03,3,89,89,89,89,89,89,84,78,78
2016-05-03,3,90,90,90,90,90,90,146,141,141
2016-05-03,3,91,91,91,91,91,91,50,47,47
2016-05-03,3,92,92,92,92,92,92,5,4,4
2016-05-03,4,88,88,88,88,88,88,207,198,198
2016-05-03,4,89,89,89,89,89,89,334,311,311
2016-05-03,4,90,90,90,90,90,90,408,389,389
2016-05-03,4,91,91,91,91,91,91,172,151,151
2016-05-03,4,92,92,92,92,92,92,18,16,16
2016-05-03,5,88,88,88,88,88,88,542,506,506
2016-05-03,5,89,89,89,89,89,89,811,754,754
2016-05-03,5,90,90,90,90,90,90,789,742,742
2016-05-03,5,91,91,91,91,91,91,326,301,301
2016-05-03,5,92,92,92,92,92,92,39,32,32
2016-05-03,6,88,88,88,88,88,88,1361,1287,1287
2016-05-03,6,89,89,89,89,89,89,2199,2108,2108
2016-05-03,6,90,90,90,90,90,90,2347,2273,2273
2016-05-03,6,91,91,91,91,91,91,772,741,741
2016-05-03,6,92,92,92,92,92,92,87,82,82
2016-05-03,8,23,23,23,23,23,23,2,1,1
2016-05-03,8,88,88,88,88,88,88,209,199,199
2016-05-03,8,89,89,89,89,89,89,400,400,400
2016-05-03,8,90,90,90,90,90,90,473,473,473
2016-05-03,8,91,91,91,91,91,91,162,161,161
2016-05-03,8,92,92,92,92,92,92,43,43,43
2016-05-03,9,88,88,88,88,88,88,189,182,182
2016-05-03,9,89,89,89,89,89,89,399,398,398
2016-05-03,9,90,90,90,90,90,90,500,500,500
2016-05-03,9,91,91,91,91,91,91,203,201,201
2016-05-03,9,92,92,92,92,92,92,29,28,28
2016-05-03,10,89,89,89,89,89,89,4,4,4
2016-05-03,10,90,90,90,90,90,90,4,4,4
2016-05-03,10,91,91,91,91,91,91,2,2,2
2016-05-03,11,26,26,26,26,26,26,1,1,1
2016-05-03,11,88,88,88,88,88,88,1296,1225,1225
2016-05-03,11,89,89,89,89,89,89,2707,2677,2677
2016-05-03,11,90,90,90,90,90,90,4299,4251,4251
2016-05-03,11,91,91,91,91,91,91,1519,1490,1490
2016-05-03,11,92,92,92,92,92,92,218,205,205
2016-05-03,12,88,88,88,88,88,88,1270,1194,1194
2016-05-03,12,89,89,89,89,89,89,2535,2448,2448
2016-05-03,12,90,90,90,90,90,90,3658,3555,3555
2016-05-03,12,91,91,91,91,91,91,1490,1427,1427
2016-05-03,12,92,92,92,92,92,92,237,214,214
2016-05-03,13,88,88,88,88,88,88,1991,1848,1848
2016-05-03,13,89,89,89,89,89,89,4047,3928,3928
2016-05-03,13,90,90,90,90,90,90,6484,6299,6299
2016-05-03,13,91,91,91,91,91,91,2609,2518,2518
2016-05-03,13,92,92,92,92,92,92,450,407,407
2016-05-03,14,88,88,88,88,88,88,882,850,850
2016-05-03,14,89,89,89,89,89,89,1448,1439,1439
2016-05-03,14,90,90,90,90,90,90,2204,2191,2191
2016-05-03,14,91,91,91,91,91,91,937,931,931
2016-05-03,14,92,92,92,92,92,92,140,127,127
2016-05-03,15,88,88,88,88,88,88,1008,918,918
2016-05-03,15,89,89,89,89,89,89,2099,2013,2013
2016-05-03,15,90,90,90,90,90,90,2992,2837,2837
2016-05-03,15,91,91,91,91,91,91,1207,1149,1149
2016-05-03,15,92,92,92,92,92,92,208,193,193
2016-05-03,16,23,23,23,23,23,23,2,1,1
2016-05-03,16,88,88,88,88,88,88,1602,1508,1508
2016-05-03,16,89,89,89,89,89,89,3026,2952,2952
2016-05-03,16,90,90,90,90,90,90,4038,3933,3933
2016-05-03,16,91,91,91,91,91,91,1673,1623,1623
