yearr,monthh,first_date,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,total
2016,5,2016-05-02,23,23,23,23,23,23,13
2016,5,2016-05-02,26,26,26,26,26,26,8
2016,5,2016-05-02,88,88,88,88,88,88,142599
2016,5,2016-05-02,89,89,89,89,89,89,266068
2016,5,2016-05-02,90,90,90,90,90,90,365489
2016,5,2016-05-02,91,91,91,91,91,91,139003
2016,5,2016-05-02,92,92,92,92,92,92,21811
